,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
288,BonomiHockey,400531093,782236194000162816,"[43.72666207, 10.41268069]",43.72666207,10.41268069,Sat Oct 01 15:10:16 +0000 2016,"Gonzalo Ursone e Mariano Mourelle, il primo autore di 3 gol su corto, l'altro dovrà rimandare… https://t.co/BCkl6lg3qf",0
289,BonomiHockey,400531093,782251889396035584,"[43.7167, 10.3833]",43.7167,10.3833,Sat Oct 01 16:12:38 +0000 2016,Commento a freddo di coach Stefano Angius dopo il successo per 5-3 sul Cus Pisa #fieldhockey… https://t.co/brGIVuKsDX,1
290,P4F_ACADEMY,358348493,782913492923789312,"[43.7223943, 10.37899581]",43.7223943,10.37899581,Mon Oct 03 12:01:37 +0000 2016,"P4F Shape&amp;Shade Inspirational Course. Great time with a team from Malta!!
P4F Academy •… https://t.co/t4V204zpMo",16
291,P4F_ACADEMY,358348493,782961832352817152,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 15:13:42 +0000 2016,"Shoot from P4F Shape&amp;Shade Inspirational Course Day Two.
Nice braiding techniques and sectioning… https://t.co/o9eQF14dO7",1
292,P4F_ACADEMY,358348493,782965519435440129,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 15:28:21 +0000 2016,"Shoot from P4F Shape&amp;Shade Inspirational Course Day Two.
Braiding techniques and sectioning hair… https://t.co/8xc3pIeqQ7",1
293,P4F_ACADEMY,358348493,782986982230110208,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 16:53:38 +0000 2016,"Shoot from P4F Shape&amp;Shade Inspirational Course Day Two.
Braiding techniques and sectioning hair… https://t.co/o9eQF14dO7",1
294,P4F_ACADEMY,358348493,782626819748966400,"[43.7223943, 10.37899581]",43.7223943,10.37899581,Sun Oct 02 17:02:28 +0000 2016,Just finished the P4F Shape&amp;Shade Inspirational Course. Great time with a hairdressers team from… https://t.co/PUlMBSLW9x,16
295,P4F_ACADEMY,358348493,782687090169434113,"[43.7223943, 10.37899581]",43.7223943,10.37899581,Sun Oct 02 21:01:58 +0000 2016,Just finished the P4F Shape&amp;Shade Inspirational Course. Great time with a hairdressers team from… https://t.co/lRitkspNWV,16
296,P4F_ACADEMY,358348493,782687712016871424,"[43.7223943, 10.37899581]",43.7223943,10.37899581,Sun Oct 02 21:04:26 +0000 2016,Just finished the P4F Shape&amp;Shade Inspirational Course. Great time with a hairdressers team from… https://t.co/iCiJdvRt7c,16
297,The_Moro_,367579528,779371680149999616,"[43.7178425, 10.40296267]",43.717842499999996,10.40296267,Fri Sep 23 17:27:43 +0000 2016,"🍺🍻

#igerspisa #bestpubintown #unipi @ Via Delle Case Dipinte https://t.co/zuyGNh4diG",4
